NORMALIZED_TIME, VOLUME_PERCENT_ERROR
 0.235,12.955
 0.235,12.845
 0.236,12.788
 0.237,12.717
 0.237,12.729
 0.238,12.735
 0.239,12.735
 0.239,12.720
 0.240,12.710
 0.241,12.711
 0.241,12.701
 0.242,12.673
 0.243,12.672
 0.243,12.660
 0.244,12.626
 0.245,12.604
 0.245,12.599
 0.246,12.610
 0.247,12.602
 0.247,12.595
 0.248,12.593
 0.249,12.577
 0.249,12.590
 0.250,12.597
 0.251,12.604
 0.251,12.598
 0.252,12.585
 0.253,12.542
 0.253,12.486
 0.254,12.485
 0.255,12.301
 0.255,12.245
 0.256,12.210
 0.257,12.170
 0.257,12.117
 0.258,12.084
 0.259,12.036
 0.259,11.996
 0.260,11.933
 0.261,11.850
 0.261,11.827
 0.262,11.740
 0.263,11.703
 0.263,11.628
 0.264,11.574
 0.265,11.535
 0.265,11.528
 0.266,11.460
 0.267,11.422
 0.267,11.390
 0.268,11.361
 0.269,11.349
 0.269,11.329
 0.270,11.308
 0.271,11.255
 0.271,11.244
 0.272,11.203
 0.273,11.207
 0.273,11.173
 0.274,11.141
 0.275,11.127
 0.275,11.030
 0.276,11.028
 0.277,10.935
 0.277,10.936
 0.278,10.841
 0.279,10.788
 0.279,10.719
 0.280,10.662
 0.281,10.625
 0.281,10.595
 0.282,10.298
 0.283,10.224
 0.283,10.211
 0.284,10.114
 0.285,10.067
 0.285, 9.994
 0.286, 9.890
 0.287, 9.815
 0.287, 9.711
 0.288, 9.638
 0.289, 9.381
 0.289, 9.274
 0.290, 9.275
 0.291, 9.218
 0.291, 9.189
 0.292, 9.020
 0.293, 8.842
 0.293, 8.729
 0.294, 8.729
 0.295, 8.708
 0.295, 8.641
 0.296, 8.573
 0.297, 8.500
 0.297, 8.472
 0.298, 8.356
 0.299, 8.212
 0.299, 8.098
 0.300, 7.960
 0.301, 7.898
 0.301, 7.848
 0.302, 7.789
 0.303, 7.771
 0.303, 7.694
 0.304, 7.669
 0.305, 7.569
 0.305, 7.549
 0.306, 7.506
 0.307, 7.437
 0.307, 7.386
 0.308, 7.337
 0.309, 7.331
 0.309, 7.121
 0.310, 7.069
 0.311, 7.038
 0.311, 6.998
 0.312, 6.893
 0.313, 6.892
 0.313, 6.807
 0.314, 6.798
 0.315, 6.590
 0.315, 6.573
 0.316, 6.511
 0.317, 6.494
 0.317, 6.486
 0.318, 6.465
 0.319, 6.462
 0.319, 6.463
 0.320, 6.447
 0.321, 6.448
 0.321, 6.426
 0.322, 6.419
 0.323, 6.411
 0.323, 6.399
 0.324, 6.400
 0.325, 6.380
 0.325, 6.382
 0.326, 6.343
 0.327, 6.297
 0.327, 6.295
 0.328, 6.274
 0.329, 6.249
 0.329, 6.237
 0.330, 6.238
 0.331, 6.257
 0.331, 6.269
 0.332, 6.251
 0.333, 6.249
 0.333, 6.240
 0.334, 6.206
 0.335, 6.188
 0.335, 6.155
 0.336, 6.114
 0.337, 6.103
 0.337, 6.078
 0.338, 6.076
 0.339, 6.025
 0.339, 5.996
 0.340, 5.971
 0.341, 5.971
 0.341, 5.898
 0.342, 5.821
 0.343, 5.782
 0.343, 5.706
 0.344, 5.673
 0.345, 5.646
 0.345, 5.628
 0.346, 5.629
 0.347, 5.572
 0.347, 5.574
 0.348, 5.513
 0.349, 5.511
 0.349, 5.468
 0.350, 5.389
 0.351, 5.343
 0.351, 5.344
 0.352, 5.264
 0.353, 5.180
 0.353, 5.068
 0.354, 4.863
 0.355, 4.763
 0.355, 4.706
 0.356, 4.612
 0.357, 4.606
 0.357, 4.496
 0.358, 4.486
 0.359, 4.479
 0.359, 4.443
 0.360, 4.443
 0.361, 4.423
 0.361, 4.402
 0.362, 4.386
 0.363, 4.355
 0.363, 4.358
 0.364, 4.306
 0.365, 4.282
 0.365, 4.273
 0.366, 4.195
 0.367, 4.129
 0.367, 4.125
 0.368, 3.959
 0.369, 3.868
 0.369, 3.846
 0.370, 3.845
 0.371, 3.845
 0.371, 3.831
 0.372, 3.798
 0.373, 3.787
 0.373, 3.764
 0.374, 3.759
 0.375, 3.728
 0.375, 3.706
 0.376, 3.695
 0.377, 3.672
 0.377, 3.631
 0.378, 3.612
 0.379, 3.557
 0.379, 3.523
 0.380, 3.524
 0.381, 3.418
 0.381, 3.419
 0.382, 3.308
 0.383, 3.263
 0.383, 3.223
 0.384, 3.142
 0.385, 3.141
 0.385, 3.095
 0.386, 3.072
 0.387, 2.944
 0.387, 2.890
 0.388, 2.856
 0.389, 2.848
 0.389, 2.780
 0.390, 2.741
 0.391, 2.688
 0.391, 2.652
 0.392, 2.660
 0.393, 2.674
 0.393, 2.677
 0.394, 2.668
 0.395, 2.659
 0.395, 2.650
 0.396, 2.633
 0.397, 2.617
 0.397, 2.614
 0.398, 2.595
 0.399, 2.578
 0.399, 2.585
 0.400, 2.567
 0.401, 2.563
 0.401, 2.559
 0.402, 2.546
 0.403, 2.544
 0.403, 2.524
 0.404, 2.509
 0.405, 2.502
 0.405, 2.492
 0.406, 2.484
 0.407, 2.481
 0.407, 2.475
 0.408, 2.473
 0.409, 2.455
 0.409, 2.433
 0.410, 2.425
 0.411, 2.383
 0.411, 2.342
 0.412, 2.332
 0.413, 2.332
 0.413, 2.332
 0.414, 2.333
 0.415, 2.335
 0.415, 2.344
 0.416, 2.345
 0.417, 2.344
 0.417, 2.320
 0.418, 2.282
 0.419, 2.263
 0.419, 2.155
 0.420, 2.140
 0.421, 2.117
 0.421, 2.115
 0.422, 2.047
 0.423, 1.998
 0.423, 1.996
 0.424, 1.945
 0.425, 1.915
 0.425, 1.902
 0.426, 1.900
 0.427, 1.889
 0.427, 1.878
 0.428, 1.869
 0.429, 1.836
 0.429, 1.827
 0.430, 1.775
 0.431, 1.750
 0.431, 1.736
 0.432, 1.682
 0.433, 1.628
 0.433, 1.597
 0.434, 1.595
 0.435, 1.590
 0.435, 1.575
 0.436, 1.575
 0.437, 1.559
 0.437, 1.559
 0.438, 1.546
 0.439, 1.531
 0.439, 1.533
 0.440, 1.502
 0.441, 1.484
 0.441, 1.484
 0.442, 1.470
 0.443, 1.451
 0.443, 1.436
 0.444, 1.411
 0.445, 1.411
 0.445, 1.411
 0.446, 1.411
 0.447, 1.411
 0.447, 1.412
 0.448, 1.408
 0.449, 1.410
 0.449, 1.411
 0.450, 1.403
 0.451, 1.396
 0.451, 1.399
 0.452, 1.393
 0.453, 1.384
 0.453, 1.384
 0.454, 1.395
 0.455, 1.388
 0.455, 1.390
 0.456, 1.390
 0.457, 1.389
 0.457, 1.400
 0.458, 1.403
 0.459, 1.409
 0.459, 1.417
 0.460, 1.406
 0.461, 1.413
 0.461, 1.399
 0.462, 1.400
 0.463, 1.381
 0.463, 1.363
 0.464, 1.345
 0.465, 1.332
 0.465, 1.328
 0.466, 1.294
 0.467, 1.286
 0.467, 1.242
 0.468, 1.225
 0.469, 1.212
 0.469, 1.197
 0.470, 1.189
 0.471, 1.175
 0.471, 1.169
 0.472, 1.169
 0.473, 1.165
 0.473, 1.169
 0.474, 1.170
 0.475, 1.172
 0.475, 1.163
 0.476, 1.164
 0.477, 1.144
 0.477, 1.130
 0.478, 1.130
 0.479, 1.130
 0.479, 1.130
 0.480, 1.120
 0.481, 1.102
 0.481, 1.104
 0.482, 1.105
 0.483, 1.101
 0.483, 1.107
 0.484, 1.103
 0.485, 1.077
 0.485, 1.058
 0.486, 1.017
 0.487, 0.989
 0.487, 0.966
 0.488, 0.925
 0.489, 0.922
 0.489, 0.881
 0.490, 0.881
 0.491, 0.881
 0.491, 0.881
 0.492, 0.881
 0.493, 0.881
 0.493, 0.889
 0.494, 0.890
 0.495, 0.891
 0.495, 0.878
 0.496, 0.815
 0.497, 0.816
 0.497, 0.820
 0.498, 0.828
 0.499, 0.855
 0.499, 0.856
 0.500, 0.860
 0.501, 0.866
 0.501, 0.865
 0.502, 0.868
 0.503, 0.857
 0.503, 0.853
 0.504, 0.827
 0.505, 0.812
 0.505, 0.794
 0.506, 0.766
 0.507, 0.752
 0.507, 0.732
 0.508, 0.721
 0.509, 0.683
 0.509, 0.654
 0.510, 0.645
 0.511, 0.644
 0.511, 0.644
 0.512, 0.629
 0.513, 0.629
 0.513, 0.629
 0.514, 0.629
 0.515, 0.629
 0.515, 0.617
 0.516, 0.597
 0.517, 0.596
 0.517, 0.586
 0.518, 0.566
 0.519, 0.498
 0.519, 0.466
 0.520, 0.393
 0.521, 0.357
 0.521, 0.273
 0.522, 0.202
 0.523, 0.164
 0.523, 0.101
 0.524,-0.048
 0.525,-0.070
 0.525,-0.094
 0.526,-0.107
 0.527,-0.091
 0.527,-0.081
 0.528,-0.081
 0.529,-0.085
 0.529,-0.088
 0.530,-0.136
 0.531,-0.141
 0.531,-0.144
 0.532,-0.154
 0.533,-0.180
 0.533,-0.186
 0.534,-0.227
 0.535,-0.246
 0.535,-0.274
 0.536,-0.299
 0.537,-0.317
 0.537,-0.326
 0.538,-0.338
 0.539,-0.368
 0.539,-0.407
 0.540,-0.429
 0.541,-0.427
 0.541,-0.413
 0.542,-0.426
 0.543,-0.426
 0.543,-0.426
 0.544,-0.426
 0.545,-0.426
 0.545,-0.414
 0.546,-0.413
 0.547,-0.413
 0.547,-0.427
 0.548,-0.425
 0.549,-0.425
 0.549,-0.425
 0.550,-0.425
 0.551,-0.425
 0.551,-0.425
 0.552,-0.425
 0.553,-0.424
 0.553,-0.424
 0.554,-0.424
 0.555,-0.424
 0.555,-0.424
 0.556,-0.424
 0.557,-0.422
 0.557,-0.423
 0.558,-0.426
 0.559,-0.435
 0.559,-0.446
 0.560,-0.454
 0.561,-0.466
 0.561,-0.468
 0.562,-0.474
 0.563,-0.479
 0.563,-0.487
 0.564,-0.492
 0.565,-0.492
 0.565,-0.492
 0.566,-0.492
 0.567,-0.492
 0.567,-0.491
 0.568,-0.494
 0.569,-0.494
 0.569,-0.495
 0.570,-0.497
 0.571,-0.497
 0.571,-0.497
 0.572,-0.497
 0.573,-0.497
 0.573,-0.497
 0.574,-0.493
 0.575,-0.492
 0.575,-0.493
 0.576,-0.495
 0.577,-0.498
 0.577,-0.497
 0.578,-0.497
 0.579,-0.497
 0.579,-0.497
 0.580,-0.497
 0.581,-0.497
 0.581,-0.496
 0.582,-0.496
 0.583,-0.495
 0.583,-0.484
 0.584,-0.482
 0.585,-0.484
 0.585,-0.485
 0.586,-0.490
 0.587,-0.478
 0.587,-0.468
 0.588,-0.465
 0.589,-0.465
 0.589,-0.465
 0.590,-0.465
 0.591,-0.465
 0.591,-0.465
 0.592,-0.465
 0.593,-0.467
 0.593,-0.467
 0.594,-0.467
 0.595,-0.467
 0.595,-0.469
 0.596,-0.469
 0.597,-0.469
 0.597,-0.469
 0.598,-0.469
 0.599,-0.468
 0.599,-0.468
 0.600,-0.465
 0.601,-0.464
 0.601,-0.464
 0.602,-0.460
 0.603,-0.449
 0.603,-0.433
 0.604,-0.412
 0.605,-0.403
 0.605,-0.385
 0.606,-0.363
 0.607,-0.336
 0.607,-0.306
 0.608,-0.298
 0.609,-0.296
 0.609,-0.296
 0.610,-0.296
 0.611,-0.296
 0.611,-0.295
 0.612,-0.295
 0.613,-0.302
 0.613,-0.292
 0.614,-0.293
 0.615,-0.295
 0.615,-0.299
 0.616,-0.299
 0.617,-0.299
 0.617,-0.299
 0.618,-0.297
 0.619,-0.302
 0.619,-0.305
 0.620,-0.302
 0.621,-0.295
 0.621,-0.282
 0.622,-0.275
 0.623,-0.275
 0.623,-0.275
 0.624,-0.275
 0.625,-0.275
 0.625,-0.274
 0.626,-0.283
 0.627,-0.285
 0.627,-0.284
 0.628,-0.289
 0.629,-0.297
 0.629,-0.297
 0.630,-0.298
 0.631,-0.297
 0.631,-0.296
 0.632,-0.300
 0.633,-0.299
 0.633,-0.298
 0.634,-0.298
 0.635,-0.299
 0.635,-0.300
 0.636,-0.300
 0.637,-0.300
 0.637,-0.300
 0.638,-0.300
 0.639,-0.302
 0.639,-0.304
 0.640,-0.301
 0.641,-0.303
 0.641,-0.314
 0.642,-0.314
 0.643,-0.314
 0.643,-0.314
 0.644,-0.314
 0.645,-0.314
 0.645,-0.315
 0.646,-0.315
 0.647,-0.316
 0.647,-0.317
 0.648,-0.314
 0.649,-0.305
 0.649,-0.305
 0.650,-0.305
 0.651,-0.308
 0.651,-0.306
 0.652,-0.297
 0.653,-0.281
 0.653,-0.280
 0.654,-0.281
 0.655,-0.282
 0.655,-0.282
 0.656,-0.282
 0.657,-0.282
 0.657,-0.282
 0.658,-0.282
 0.659,-0.280
 0.659,-0.274
 0.660,-0.273
 0.661,-0.272
 0.661,-0.276
 0.662,-0.276
 0.663,-0.276
 0.663,-0.276
 0.664,-0.276
 0.665,-0.275
 0.665,-0.277
 0.666,-0.276
 0.667,-0.273
 0.667,-0.273
 0.668,-0.273
 0.669,-0.274
 0.669,-0.274
 0.670,-0.275
 0.671,-0.282
 0.671,-0.284
 0.672,-0.282
 0.673,-0.276
 0.673,-0.274
 0.674,-0.272
 0.675,-0.271
 0.675,-0.273
 0.676,-0.283
 0.677,-0.293
 0.677,-0.302
 0.678,-0.310
 0.679,-0.316
 0.679,-0.320
 0.680,-0.322
 0.681,-0.325
 0.681,-0.327
 0.682,-0.329
 0.683,-0.330
 0.683,-0.332
 0.684,-0.333
 0.685,-0.335
 0.685,-0.336
 0.686,-0.337
 0.687,-0.338
 0.687,-0.339
 0.688,-0.340
 0.689,-0.341
 0.689,-0.342
 0.690,-0.342
 0.691,-0.343
 0.691,-0.344
 0.692,-0.344
 0.693,-0.345
 0.693,-0.345
 0.694,-0.346
 0.695,-0.346
 0.695,-0.347
 0.696,-0.347
 0.697,-0.348
 0.697,-0.348
 0.698,-0.349
 0.699,-0.349
 0.699,-0.350
 0.700,-0.350
 0.701,-0.351
 0.701,-0.351
 0.702,-0.351
 0.703,-0.352
 0.703,-0.352
 0.704,-0.353
 0.705,-0.353
 0.705,-0.353
 0.706,-0.354
 0.707,-0.354
 0.707,-0.354
 0.708,-0.355
 0.709,-0.355
 0.709,-0.355
 0.710,-0.355
 0.711,-0.356
 0.711,-0.356
 0.712,-0.356
 0.713,-0.357
 0.713,-0.357
 0.714,-0.357
 0.715,-0.357
 0.715,-0.358
 0.716,-0.358
 0.717,-0.358
 0.717,-0.358
 0.718,-0.359
 0.719,-0.359
 0.719,-0.359
 0.720,-0.359
 0.721,-0.359
 0.721,-0.360
 0.722,-0.360
 0.723,-0.360
 0.723,-0.360
 0.724,-0.361
 0.725,-0.361
 0.725,-0.361
 0.726,-0.361
 0.727,-0.361
 0.727,-0.361
 0.728,-0.362
 0.729,-0.362
 0.729,-0.362
 0.730,-0.362
 0.731,-0.362
 0.731,-0.363
 0.732,-0.363
 0.733,-0.363
 0.733,-0.363
 0.734,-0.363
 0.735,-0.363
 0.735,-0.364
 0.736,-0.364
 0.737,-0.364
 0.737,-0.364
 0.738,-0.364
 0.739,-0.364
 0.739,-0.364
 0.740,-0.365
 0.741,-0.365
 0.741,-0.365
 0.742,-0.365
 0.743,-0.365
 0.743,-0.365
 0.744,-0.365
 0.745,-0.366
 0.745,-0.366
 0.746,-0.366
 0.747,-0.366
 0.747,-0.366
 0.748,-0.366
 0.749,-0.366
 0.749,-0.366
 0.750,-0.366
 0.751,-0.367
 0.751,-0.367
 0.752,-0.367
 0.753,-0.367
 0.753,-0.367
 0.754,-0.367
 0.755,-0.367
 0.755,-0.367
 0.756,-0.367
 0.757,-0.368
 0.757,-0.368
 0.758,-0.368
 0.759,-0.368
 0.759,-0.368
 0.760,-0.368
 0.761,-0.368
 0.761,-0.368
 0.762,-0.368
 0.763,-0.369
 0.763,-0.369
 0.764,-0.369
 0.765,-0.369
 0.765,-0.369
 0.766,-0.369
 0.767,-0.369
 0.767,-0.369
 0.768,-0.369
 0.769,-0.369
 0.769,-0.369
 0.770,-0.370
 0.771,-0.370
 0.771,-0.370
 0.772,-0.370
 0.773,-0.370
 0.773,-0.370
 0.774,-0.370
 0.775,-0.370
 0.775,-0.370
 0.776,-0.370
 0.777,-0.370
 0.777,-0.370
 0.778,-0.370
 0.779,-0.371
 0.779,-0.371
 0.780,-0.371
 0.781,-0.371
 0.781,-0.371
 0.782,-0.371
 0.783,-0.371
 0.783,-0.371
 0.784,-0.371
 0.785,-0.371
 0.785,-0.371
 0.786,-0.371
 0.787,-0.371
 0.787,-0.371
 0.788,-0.372
 0.789,-0.372
 0.789,-0.372
 0.790,-0.372
 0.791,-0.372
 0.791,-0.372
 0.792,-0.372
 0.793,-0.372
 0.793,-0.372
 0.794,-0.372
 0.795,-0.372
 0.795,-0.372
 0.796,-0.372
 0.797,-0.372
 0.797,-0.372
 0.798,-0.373
 0.799,-0.373
 0.799,-0.373
 0.800,-0.373
 0.801,-0.373
 0.801,-0.373
 0.802,-0.373
 0.803,-0.373
 0.803,-0.373
 0.804,-0.373
 0.805,-0.373
 0.805,-0.373
 0.806,-0.373
 0.807,-0.373
 0.807,-0.373
 0.808,-0.373
 0.809,-0.373
 0.809,-0.373
 0.810,-0.374
 0.811,-0.374
 0.811,-0.374
 0.812,-0.374
 0.813,-0.374
 0.813,-0.374
 0.814,-0.374
 0.815,-0.374
 0.815,-0.374
 0.816,-0.374
 0.817,-0.374
 0.817,-0.374
 0.818,-0.374
 0.819,-0.374
 0.819,-0.374
 0.820,-0.374
 0.821,-0.374
 0.821,-0.374
 0.822,-0.374
 0.823,-0.374
 0.823,-0.375
 0.824,-0.375
 0.825,-0.375
 0.825,-0.375
 0.826,-0.375
 0.827,-0.375
 0.827,-0.375
 0.828,-0.375
 0.829,-0.375
 0.829,-0.375
 0.830,-0.375
 0.831,-0.375
 0.831,-0.375
 0.832,-0.375
 0.833,-0.375
 0.833,-0.375
 0.834,-0.375
 0.835,-0.375
 0.835,-0.375
 0.836,-0.375
 0.837,-0.375
 0.837,-0.375
 0.838,-0.375
 0.839,-0.375
 0.839,-0.376
 0.840,-0.376
 0.841,-0.376
 0.841,-0.376
 0.842,-0.376
 0.843,-0.376
 0.843,-0.376
 0.844,-0.376
 0.845,-0.376
 0.845,-0.376
 0.846,-0.376
 0.847,-0.376
 0.847,-0.376
 0.848,-0.376
 0.849,-0.376
 0.849,-0.376
 0.850,-0.376
 0.851,-0.376
 0.851,-0.376
 0.852,-0.376
 0.853,-0.376
 0.853,-0.376
 0.854,-0.376
 0.855,-0.376
 0.855,-0.376
 0.856,-0.376
 0.857,-0.376
 0.857,-0.377
 0.858,-0.377
 0.859,-0.377
 0.859,-0.377
 0.860,-0.377
 0.861,-0.377
 0.861,-0.377
 0.862,-0.377
 0.863,-0.377
